WKT,Enplanements,Passengers,Magnetic_Variation,State_Name,Official_Facility_Name,Elevation_Nearest_Tenth_Of_A_Foot_Msl,Has_Been_Designated_As_A_Customs_Landing_Rights_Airport,Location_Identifier,Departing_Flights,County_Or_Parish_Name,Magnetic_Direction,Facility_Type,Arriving_Flights,Has_Been_Designated_As_An_International_Airport,Icao_Identifier,City_Name,Associated_Aeronautical_Chart,Airport_Activation_Date_Mm_Yyyy,County_s_State_Post_Office_Code,SHAPE_X,SHAPE_Y
"POINT (-86.8047222219587 34.2005555555601)",,,1,Alabama,Cullman Rgnl Medical Center,826,,3AL9,,Cullman,W,Heliport,,,,Cullman,Atlanta,02/1999,AL,-86.8047222219587,34.2005555555601
"POINT (-85.7411638885859 32.8187111114886)",,,,Alabama,Lake Martin Community Hospital,589,,5AL6,,Tallapoosa,,Heliport,,,,Dadeville,Jacksonville,03/2005,AL,-85.7411638885859,32.8187111114886
"POINT (-87.0804999997875 34.373000000276)",,,,Alabama,Med Flight 2,650,,30AL,,Morgan,,Heliport,,,,Danville,Atlanta,12/2010,AL,-87.0804999997875,34.373000000276
"POINT (-86.972222221888 34.5908333330185)",,,,Alabama,Decatur General Hospital,588,,1AL1,,Morgan,W,Heliport,,,,Decatur,Atlanta,03/1993,AL,-86.972222221888,34.5908333330185
"POINT (-87.8363888886098 32.5055555553388)",,,1,Alabama,Bryan W. Whitfield Memorial Hospital,154,,AL14,,Marengo,E,Heliport,,,,Demopolis,Atlanta,07/1990,AL,-87.8363888886098,32.5055555553388
"POINT (-85.3672222220964 31.218055555222)",,,1,Alabama,Southeast Alabama Medical Center,314,,AL20,,Houston,W,Heliport,,,,Dothan,New Orleans,03/1979,AL,-85.3672222220964,31.218055555222
"POINT (-85.4563225003075 31.237674444144)",,,1,Alabama,Flowers Hospital,305,,AL59,,Houston,W,Heliport,,,,Dothan,New Orleans,10/1984,AL,-85.4563225003075,31.237674444144
"POINT (-86.9402777773468 31.4305555556168)",,,,Alabama,Hospital Pad,295,,0AL3,,Conecuh,E,Heliport,,,,Evergreen,New Orleans,03/1993,AL,-86.9402777773468,31.4305555556168
"POINT (-87.823611110973 33.7091666669658)",,,,Alabama,Fayette Medical Center,370,,3AL0,,Fayette,E,Heliport,,,,Fayette,New Orleans,07/1995,AL,-87.823611110973,33.7091666669658
"POINT (-85.6962055559136 34.768919444614)",,,,Alabama,Flat Rock Community Club,1289,,43AL,,Jackson,,Heliport,,,,Flat Rock,Atlanta,11/2011,AL,-85.6962055559136,34.768919444614
"POINT (-87.6833622220431 34.7939766665138)",,,1,Alabama,Eliza Coffee Memorial Hospital,581,,AL22,,Lauderdale,E,Heliport,,,,Florence,Atlanta,11/1989,AL,-87.6833622220431,34.7939766665138
"POINT (-87.6851333332708 30.4175666665231)",,,,Alabama,Foley Hospital,85,,3AL4,,Baldwin,,Heliport,,,,Foley,New Orleans,03/2010,AL,-87.6851333332708,30.4175666665231
"POINT (-85.7563888890591 34.440833333593)",,,1,Alabama,Dekalb Rgnl Medical Center,870,,0AL4,,De Kalb,W,Heliport,,,,Fort Payne,Atlanta,03/1993,AL,-85.7563888890591,34.440833333593
"POINT (-85.6516750000812 31.3557222223442)",,,3,Alabama,Hanchey Ahp (Fort Rucker),318,N,HEY,,Dale,W,Heliport,,N,KHEY,Fort Rucker Ozark,New Orleans,,AL,-85.6516750000812,31.3557222223442
"POINT (-85.7511666670038 31.3558333333561)",,,3,Alabama,Lowe Ahp (Fort Rucker),294,,LOR,,Dale,W,Heliport,,,KLOR,Fort Rucker Ozark,New Orleans,,AL,-85.7511666670038,31.3558333333561
"POINT (-85.6666019440347 31.3168383331547)",,,,Alabama,Knox Ahp,225,,FHK,,Dale,E,Heliport,,,KFHK,Fort Rucker/Ozark,New Orleans,04/1982,AL,-85.6666019440347,31.3168383331547
"POINT (-85.8493833334841 31.3626694442765)",,,1,Alabama,Shell Ahp,400,,SXS,,Dale,W,Heliport,,,KSXS,Fort Rucker,New Orleans,02/1987,AL,-85.8493833334841,31.3626694442765
"POINT (-85.5615944442994 31.2257083335194)",,,2,Alabama,Toth Stagefield Ahp,318,,24AL,,Houston,W,Heliport,,,,Fort Rucker/Dothan,New Orleans,05/2002,AL,-85.5615944442994,31.2257083335194
"POINT (-86.0409388890121 31.2698750003813)",,,2,Alabama,Lucas Ahp,336,,25AL,,Coffee,W,Heliport,,,,Fort Rucker/Goodman,New Orleans,05/2002,AL,-86.0409388890121,31.2698750003813
"POINT (-85.649702777621 31.2311750003057)",,,2,Alabama,Allen Stagefield Ahp,365,,05AL,,Houston,W,Heliport,,,,Fort Rucker/Wicksburg,New Orleans,05/2002,AL,-85.649702777621,31.2311750003057
"POINT (-85.9724250003332 31.3884388886473)",,,2,Alabama,Brown Stagefield Ahp,415,,06AL,,Coffee,W,Heliport,,,,Fort Rucker/New Brockton,New Orleans,05/2002,AL,-85.9724250003332,31.3884388886473
"POINT (-85.7515000003647 31.3936944440703)",,,2,Alabama,Ech Stagefield Ahp,268,,11AL,,Dale,W,Heliport,,,,Fort Rucker/Ozark,New Orleans,05/2002,AL,-85.7515000003647,31.3936944440703
"POINT (-85.4598500002736 31.413977778015)",,,2,Alabama,Goldberg Stagefield Ahp,362,,12AL,,Dale,W,Heliport,,,,Fort Rucker/Kirklands Crossroads,New Orleans,05/2002,AL,-85.4598500002736,31.413977778015
"POINT (-85.6205444444588 31.3589722223443)",,,2,Alabama,Hatch Stagefield Ahp,225,,13AL,,Dale,W,Heliport,,,,Fort Rucker/Ozark,New Orleans,05/2002,AL,-85.6205444444588,31.3589722223443
"POINT (-85.7336805557566 31.1535388891456)",,,2,Alabama,Highbluff Stagefield Ahp,270,,14AL,,Geneva,W,Heliport,,,,Fort Rucker/Hartford,New Orleans,05/2002,AL,-85.7336805557566,31.1535388891456
"POINT (-85.7879444448289 31.0936111111801)",,,2,Alabama,Highfalls Stagefield Ahp,220,,15AL,,Geneva,W,Heliport,,,,Fort Rucker/Hartford,New Orleans,05/2002,AL,-85.7879444448289,31.0936111111801
"POINT (-85.6892444443016 31.4084111108433)",,,2,Alabama,Hooper Stagefield Ahp,365,,16AL,,Dale,W,Heliport,,,,Fort Rucker/Ozark,New Orleans,05/2002,AL,-85.6892444443016,31.4084111108433
"POINT (-85.5802749995659 31.3801861110637)",,,2,Alabama,Hunt Stagefield Ahp,263,,17AL,,Dale,W,Heliport,,,,Fort Rucker/Newton,New Orleans,05/2002,AL,-85.5802749995659,31.3801861110637
"POINT (-85.7850638890726 31.4824305552315)",,,2,Alabama,Molinelli Stagefield Ahp,490,,19AL,,Dale,W,Heliport,,,,Fort Rucker/Ozark,New Orleans,05/2002,AL,-85.7850638890726,31.4824305552315
"POINT (-86.0917472223929 31.3388138888703)",,,2,Alabama,Runkle Stagefield Ahp,180,,20AL,,Coffee,W,Heliport,,,,Fort Rucker/Elba,,05/2002,AL,-86.0917472223929,31.3388138888703
"POINT (-86.130061111269 31.2876527780891)",,,2,Alabama,Skelly Stagefield Ahp,220,,21AL,,Coffee,W,Heliport,,,,Fort Rucker/Opp,New Orleans,05/2002,AL,-86.130061111269,31.2876527780891
"POINT (-86.0137305557866 31.3607944440691)",,,2,Alabama,Stinson Stagefield Ahp,379,,22AL,,Coffee,W,Heliport,,,,Fort Rucker/New Brockton,New Orleans,05/2002,AL,-86.0137305557866,31.3607944440691
"POINT (-85.8463361114965 31.4649527778394)",,,2,Alabama,Tabernacle Stagefield Ahp,470,,23AL,,Coffee,W,Heliport,,,,Fort Rucker/Ozark,New Orleans,05/2002,AL,-85.8463361114965,31.4649527778394
"POINT (-85.9791055555056 31.1251750002338)",,,2,Alabama,Tac X Stagefield Ahp,132,,07AL,,Geneva,W,Heliport,,,,Fort Rucker/Samson,New Orleans,06/2002,AL,-85.9791055555056,31.1251750002338
"POINT (-85.9652777775573 34.0083333333778)",,,1,Alabama,Gadsden Regl Medical Center,621,,0AL7,,Etowah,W,Heliport,,,,Gadsden,Atlanta,03/1993,AL,-85.9652777775573,34.0083333333778
"POINT (-85.8916027774154 31.0496230555921)",,,,Alabama,Wiregrass Hospital,160,,8AL9,,Geneva,W,Heliport,,,,Geneva,New Orleans,,AL,-85.8916027774154,31.0496230555921
"POINT (-86.9150000000236 34.4272222220403)",,,1,Alabama,Froberg,630,,4AL4,,Morgan,W,Heliport,,,,Hartselle,Atlanta,02/2000,AL,-86.9150000000236,34.4272222220403
"POINT (-86.7877777777597 33.3522222221593)",,,1,Alabama,T.V. Alabama,550,,AL70,,Cullman,W,Heliport,,,,Hoover,Atlanta,02/1999,AL,-86.7877777777597,33.3522222221593
"POINT (-86.5888813891559 34.6884241664557)",,,,Alabama,Huntsville Field,619,,0AL0,,Madison,W,Heliport,,,,Huntsville,Atlanta,01/1975,AL,-86.5888813891559,34.6884241664557
"POINT (-86.5808391667776 34.7209961114695)",,,,Alabama,The Huntsville Hospital,728,,AL36,,Madison,E,Heliport,,,,Huntsville,Atlanta,08/1981,AL,-86.5808391667776,34.7209961114695
